ep 0: reward: -20, mean reward: -20.000
ep 0: reward: -21, mean reward: -21.000
ep 50: reward: -21, mean reward: -20.806
ep 100: reward: -19, mean reward: -20.597
ep 150: reward: -20, mean reward: -20.437
ep 200: reward: -20, mean reward: -20.373
ep 250: reward: -19, mean reward: -20.155
ep 300: reward: -21, mean reward: -19.996
ep 350: reward: -20, mean reward: -19.909
ep 400: reward: -20, mean reward: -19.780
ep 450: reward: -19, mean reward: -19.683
ep 500: reward: -20, mean reward: -19.643
ep 550: reward: -17, mean reward: -19.603
ep 600: reward: -21, mean reward: -19.636
ep 650: reward: -20, mean reward: -19.576
ep 700: reward: -20, mean reward: -19.595
ep 750: reward: -19, mean reward: -19.425
ep 800: reward: -19, mean reward: -19.268
ep 850: reward: -19, mean reward: -19.347
ep 900: reward: -17, mean reward: -19.238
ep 950: reward: -21, mean reward: -19.231
ep 1000: reward: -17, mean reward: -19.314
ep 1050: reward: -19, mean reward: -19.213
ep 1100: reward: -20, mean reward: -19.131
ep 1150: reward: -21, mean reward: -18.978
ep 1200: reward: -15, mean reward: -18.769
ep 1250: reward: -15, mean reward: -18.790
ep 1300: reward: -19, mean reward: -18.858
ep 1350: reward: -19, mean reward: -18.864
ep 1400: reward: -20, mean reward: -18.825
ep 1450: reward: -19, mean reward: -18.550
ep 1500: reward: -19, mean reward: -18.595
ep 1550: reward: -17, mean reward: -18.452
ep 1600: reward: -20, mean reward: -18.325
ep 1650: reward: -18, mean reward: -18.416
ep 1700: reward: -15, mean reward: -18.342
ep 1750: reward: -18, mean reward: -17.995
ep 1800: reward: -15, mean reward: -18.043
ep 1850: reward: -19, mean reward: -17.953
ep 1900: reward: -15, mean reward: -18.092
ep 1950: reward: -19, mean reward: -18.106
ep 2000: reward: -19, mean reward: -17.939
ep 2050: reward: -18, mean reward: -17.743
ep 2100: reward: -19, mean reward: -17.518
ep 2150: reward: -19, mean reward: -17.457
ep 2200: reward: -17, mean reward: -17.526
ep 2250: reward: -17, mean reward: -17.488
ep 2300: reward: -15, mean reward: -17.285
ep 2350: reward: -16, mean reward: -17.089
ep 2400: reward: -17, mean reward: -16.981
ep 2450: reward: -17, mean reward: -16.844
ep 2500: reward: -18, mean reward: -16.836
ep 2550: reward: -20, mean reward: -16.815
ep 2600: reward: -17, mean reward: -16.898
ep 2650: reward: -21, mean reward: -17.028
ep 2700: reward: -17, mean reward: -16.968
ep 2750: reward: -16, mean reward: -16.928
ep 2800: reward: -21, mean reward: -16.626
ep 2850: reward: -21, mean reward: -16.579
ep 2900: reward: -16, mean reward: -16.472
ep 2950: reward: -16, mean reward: -16.514
ep 3000: reward: -16, mean reward: -16.265
ep 3050: reward: -17, mean reward: -16.360
ep 3100: reward: -17, mean reward: -16.240
ep 3150: reward: -17, mean reward: -16.385
ep 3200: reward: -16, mean reward: -16.704
ep 3250: reward: -12, mean reward: -16.097
ep 3300: reward: -20, mean reward: -16.565
ep 3350: reward: -11, mean reward: -16.279
ep 3400: reward: -17, mean reward: -16.029
ep 3450: reward: -18, mean reward: -16.276
ep 3500: reward: -14, mean reward: -16.245
ep 3550: reward: -14, mean reward: -16.466
ep 3600: reward: -11, mean reward: -16.130
ep 3650: reward: -17, mean reward: -16.297
ep 3700: reward: -19, mean reward: -16.256
ep 3750: reward: -13, mean reward: -16.340
ep 3800: reward: -14, mean reward: -16.057
ep 3850: reward: -19, mean reward: -15.850
ep 3900: reward: -15, mean reward: -15.998
