ep 0: reward: -21, mean reward: -21.000
ep 50: reward: -21, mean reward: -20.665
ep 100: reward: -21, mean reward: -20.489
ep 150: reward: -21, mean reward: -20.493
ep 200: reward: -21, mean reward: -20.420
ep 250: reward: -21, mean reward: -20.334
ep 300: reward: -19, mean reward: -20.324
ep 350: reward: -20, mean reward: -20.304
ep 400: reward: -20, mean reward: -20.338
ep 450: reward: -19, mean reward: -20.386
ep 500: reward: -21, mean reward: -20.161
ep 550: reward: -18, mean reward: -20.092
ep 600: reward: -21, mean reward: -19.925
ep 650: reward: -19, mean reward: -19.883
ep 700: reward: -20, mean reward: -19.774
ep 750: reward: -17, mean reward: -19.592
ep 800: reward: -19, mean reward: -19.227
ep 850: reward: -16, mean reward: -18.982
ep 900: reward: -12, mean reward: -18.565
ep 950: reward: -19, mean reward: -18.172
ep 1000: reward: -15, mean reward: -17.947
ep 1050: reward: -19, mean reward: -17.688
ep 1100: reward: -16, mean reward: -16.931
ep 1150: reward: -16, mean reward: -16.802
ep 1200: reward: -15, mean reward: -16.398
ep 1250: reward: -12, mean reward: -15.993
ep 1300: reward: -12, mean reward: -15.698
ep 1350: reward: -12, mean reward: -14.999
ep 1400: reward: -8, mean reward: -14.271
ep 1450: reward: -13, mean reward: -13.509
ep 1500: reward: -11, mean reward: -12.734
ep 1550: reward: -17, mean reward: -12.430
ep 1600: reward: -12, mean reward: -12.177
ep 1650: reward: -8, mean reward: -11.864
ep 1700: reward: -11, mean reward: -11.957
ep 1750: reward: 2, mean reward: -11.204
ep 1800: reward: -12, mean reward: -10.280
ep 1850: reward: -7, mean reward: -9.624
ep 1900: reward: -16, mean reward: -9.101
ep 1950: reward: -9, mean reward: -9.607
ep 2000: reward: -2, mean reward: -9.710
ep 2050: reward: -8, mean reward: -9.515
ep 2100: reward: 1, mean reward: -8.687
ep 2150: reward: -13, mean reward: -8.670
ep 2200: reward: -2, mean reward: -8.462
ep 2250: reward: -5, mean reward: -8.286
ep 2300: reward: -9, mean reward: -8.132
ep 2350: reward: -5, mean reward: -6.725
ep 2400: reward: -6, mean reward: -6.561
ep 2450: reward: -9, mean reward: -5.897
ep 2500: reward: -4, mean reward: -6.002
ep 2550: reward: -7, mean reward: -5.679
ep 2600: reward: -2, mean reward: -5.729
ep 2650: reward: -8, mean reward: -6.146
